X-axis,Y-axis,p-value,σₑₛₜ,R²,N,lower bound 95% CI,upper bound 95% CI
Bone Volume Fraction -,Bone Mineral Density mg HA / cm³,1.0e-37,17.5,0.89,76,1038,1219
Bone Volume Fraction -,Tissue Mineral Density mg HA / cm³,0.006,17.9,0.1,76,39.6,224
Bone Volume Fraction -,Mineral weight fraction -,3.6e-04,0.012,0.16,76,0.052,0.171
Bone Volume Fraction -,Organic weight fraction -,0.501,0.009,6.2e-03,76,-0.029,0.06
Bone Volume Fraction -,Water weight fraction -,9.5e-04,0.014,0.14,76,-0.2,-0.053
Bone Volume Fraction -,Density g/cm³,3.0e-09,0.034,0.38,76,0.416,0.766
Bone Volume Fraction -,Apparent Modulus Mineralized MPa,5.3e-06,1577.0,0.25,73,12066,28468
Bone Volume Fraction -,Apparent Modulus Demineralized MPa,0.675,38.6,2.6e-03,70,-246,160
Bone Volume Fraction -,Ultimate Stress MPa,0.074,4.7,0.05,70,-2.3,47.1
Bone Volume Fraction -,Ultimate Strain -,0.014,0.011,0.08,70,0.015,0.133
Bone Volume Fraction -,Mineral to Matrix Ratio -,0.001,0.035,0.25,37,0.156,0.601
Bone Mineral Density mg HA / cm³,Tissue Mineral Density mg HA / cm³,4.4e-08,15.3,0.33,76,0.137,0.269
Bone Mineral Density mg HA / cm³,Mineral weight fraction -,2.5e-06,0.011,0.26,76,7.29e-05,1.66e-04
Bone Mineral Density mg HA / cm³,Organic weight fraction -,0.87,0.009,3.6e-04,76,-4.06e-05,3.44e-05
Bone Mineral Density mg HA / cm³,Water weight fraction -,2.5e-04,0.014,0.17,76,-1.77e-04,-5.61e-05
Bone Mineral Density mg HA / cm³,Density g/cm³,3.7e-11,0.032,0.45,76,4.00e-04,6.76e-04
Bone Mineral Density mg HA / cm³,Apparent Modulus Mineralized MPa,5.5e-06,1578.0,0.25,73,10.0,23.8
Bone Mineral Density mg HA / cm³,Apparent Modulus Demineralized MPa,0.171,38.2,0.03,70,-0.285,0.051
Bone Mineral Density mg HA / cm³,Ultimate Stress MPa,0.527,4.8,5.9e-03,70,-0.014,0.028
Bone Mineral Density mg HA / cm³,Ultimate Strain -,0.077,0.011,0.05,70,-5.06e-06,9.59e-05
Bone Mineral Density mg HA / cm³,Mineral to Matrix Ratio -,3.6e-04,0.033,0.31,37,1.74e-04,5.43e-04
Tissue Mineral Density mg HA / cm³,Mineral weight fraction -,1.6e-08,0.01,0.35,76,2.72e-04,5.21e-04
Tissue Mineral Density mg HA / cm³,Organic weight fraction -,0.009,0.008,0.09,76,-2.39e-04,-3.44e-05
Tissue Mineral Density mg HA / cm³,Water weight fraction -,0.005,0.015,0.1,76,-4.39e-04,-8.08e-05
Tissue Mineral Density mg HA / cm³,Density g/cm³,2.9e-06,0.037,0.26,76,7.04e-04,0.002
Tissue Mineral Density mg HA / cm³,Apparent Modulus Mineralized MPa,0.052,1778.0,0.05,73,-0.165,44.1
Tissue Mineral Density mg HA / cm³,Apparent Modulus Demineralized MPa,0.001,35.9,0.14,70,-1.2,-0.309
Tissue Mineral Density mg HA / cm³,Ultimate Stress MPa,0.008,4.6,0.1,70,-0.139,-0.021
Tissue Mineral Density mg HA / cm³,Ultimate Strain -,0.328,0.012,0.01,70,-2.24e-04,7.57e-05
Tissue Mineral Density mg HA / cm³,Mineral to Matrix Ratio -,0.003,0.035,0.23,37,3.98e-04,0.002
Mineral weight fraction -,Organic weight fraction -,0.546,0.009,4.8e-03,79,-0.105,0.197
Mineral weight fraction -,Water weight fraction -,1.6e-22,0.009,0.71,79,-1.2,-0.895
Mineral weight fraction -,Density g/cm³,4.4e-24,0.027,0.74,79,3.0,3.9
Mineral weight fraction -,Apparent Modulus Mineralized MPa,9.5e-05,1640.0,0.19,73,32624,93306
Mineral weight fraction -,Apparent Modulus Demineralized MPa,0.143,38.1,0.03,70,-1237,182
Mineral weight fraction -,Ultimate Stress MPa,0.75,4.8,1.5e-03,70,-104,75.3
Mineral weight fraction -,Ultimate Strain -,0.523,0.012,6.0e-03,70,-0.148,0.288
Mineral weight fraction -,Mineral to Matrix Ratio -,2.9e-04,0.033,0.3,39,1.2,3.7
Organic weight fraction -,Water weight fraction -,8.3e-09,0.013,0.35,79,-1.4,-0.764
Organic weight fraction -,Density g/cm³,0.085,0.051,0.04,79,-0.163,2.5
Organic weight fraction -,Apparent Modulus Mineralized MPa,0.191,1805.0,0.02,73,-81308,16550
Organic weight fraction -,Apparent Modulus Demineralized MPa,0.945,38.7,7.0e-05,70,-1051,1126
Organic weight fraction -,Ultimate Stress MPa,0.622,4.8,3.6e-03,70,-102,169
Organic weight fraction -,Ultimate Strain -,0.473,0.012,7.6e-03,70,-0.21,0.448
Organic weight fraction -,Mineral to Matrix Ratio -,0.875,0.04,6.8e-04,39,-1.9,2.2
Water weight fraction -,Density g/cm³,1.3e-18,0.031,0.64,79,-3.0,-2.1
Water weight fraction -,Apparent Modulus Mineralized MPa,0.018,1756.0,0.08,73,-59073,-5647
Water weight fraction -,Apparent Modulus Demineralized MPa,0.245,38.3,0.02,70,-242,930
Water weight fraction -,Ultimate Stress MPa,0.995,4.8,4.9e-07,70,-73.8,73.4
Water weight fraction -,Ultimate Strain -,0.36,0.012,0.01,70,-0.261,0.096
Water weight fraction -,Mineral to Matrix Ratio -,0.004,0.035,0.21,39,-2.7,-0.565
Density g/cm³,Apparent Modulus Mineralized MPa,7.3e-06,1584.0,0.25,73,12274,29463
Density g/cm³,Apparent Modulus Demineralized MPa,0.35,38.4,0.01,70,-309,111
Density g/cm³,Ultimate Stress MPa,0.448,4.8,8.5e-03,70,-16.2,36.2
Density g/cm³,Ultimate Strain -,0.126,0.012,0.03,70,-0.014,0.112
Density g/cm³,Mineral to Matrix Ratio -,0.027,0.037,0.13,39,0.039,0.604
Apparent Modulus Mineralized MPa,Apparent Modulus Demineralized MPa,5.5e-05,34.3,0.21,70,0.005,0.014
